,AwardID,Group,Region,"Claim Type 1: Breach of Contract,Breach of Implied Contract",Claim Type 2: QuasiContractual Claims,Claim Type 3: Breach of Fiduciary Duty,Claim Type 4: Negligence,Claim Type 5: Failure to Supervise/Negligent Supervision,Claim Type 6: Fraud,Claim Type 7: Unjust Enrichment,Claim Type 8: Suitability or Unsuitability,Claim Type 9: Misrepresentation,Claim Type 10: Unauthorized Trading,Claim Type 11: Churning,Claim Type 12: Failure to Execute,Claim Type 13: Breach of Promissory Note,Claim Type 14: Conversion 1,Claim Type 15: Violation of Securities Laws/Regulations,Claim Type 16: Employment Related Claims,Claim Type 17: Other,Length of Case,Winner
15,17-00081,Group 3: One Attorney,Northeast,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,484.0,Respondent
16,16-00101,Group 3: One Attorney,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,851.0,Respondent
17,17-02026,Group 2: One Non-Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0,Claimant
19,15-02425,Group 3: One Attorney,South,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,962.0,Claimant
21,16-01159,Group 3: One Attorney,South,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,742.0,Respondent
23,17-01955,Group 3: One Attorney,South,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,282.0,Respondent
25,17-02186,Group 1: Pro Se,Northeast,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,261.0,Claimant
26,17-03203,Group 3: One Attorney,South,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,154.0,Claimant
27,17-02027,Group 3: One Attorney,West,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,275.0,Claimant
28,17-01181,Group 2: One Non-Attorney,South,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,359.0,Respondent
29,17-03185,Group 3: One Attorney,South,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,155.0,Respondent
30,16-00815,Group 3: One Attorney,Northeast,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,779.0,Respondent
31,17-00828,Group 3: One Attorney,Northeast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398.0,Claimant
32,16-02671,Group 3: One Attorney,Northeast,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,599.0,Respondent
34,17-00798,Group 1: Pro Se,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.0,Claimant
38,17-02040,Group 3: One Attorney,South,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,272.0,Claimant
39,17-02087,Group 3: One Attorney,West,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,269.0,Respondent
40,16-01647,Group 3: One Attorney,Northeast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,688.0,Claimant
44,16-01865,Group 3: One Attorney,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,673.0,Claimant
45,16-01810,Group 3: One Attorney,South,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,671.0,Claimant
47,17-00372,Group 1: Pro Se,South,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,443.0,Respondent
49,15-01415,Group 2: One Non-Attorney,Midwest,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1051.0,Claimant
51,17-00192,Group 3: One Attorney,Northeast,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,459.0,Respondent
52,17-01082,Group 3: One Attorney,Midwest,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,362.0,Claimant
56,16-02246,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617.0,Claimant
57,15-03228,Group 3: One Attorney,South,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,875.0,Claimant
58,17-02369,Group 1: Pro Se,Northeast,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,233.0,Respondent
59,16-01831,Group 2: One Non-Attorney,South,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,668.0,Claimant
60,14-02693,Group 2: One Non-Attorney,South,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1337.0,Respondent
61,16-03407,Group 1: Pro Se,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.0,Respondent
62,17-00754,Group 1: Pro Se,South,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,405.0,Respondent
64,17-03482,Group 1: Pro Se,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,Claimant
66,17-01008,Group 3: One Attorney,Northeast,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,364.0,Respondent
67,17-02555,Group 3: One Attorney,West,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,206.0,Claimant
69,17-02565,Group 1: Pro Se,West,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,205.0,Claimant
70,17-01608,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.0,Respondent
71,16-03482,Group 3: One Attorney,Northeast,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,505.0,Claimant
74,13-01388,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1804.0,Claimant
80,13-03504,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1603.0,Claimant
81,15-03156,Group 2: One Non-Attorney,South,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,875.0,Claimant
82,15-02666,Group 3: One Attorney,South,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,922.0,Respondent
83,17-03224,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,Claimant
84,17-01414,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.0,Respondent
85,17-00778,Group 2: One Non-Attorney,South,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,382.0,Respondent
86,17-02299,Group 2: One Non-Attorney,Northeast,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1031.0,Claimant
87,17-01404,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,322.0,Claimant
88,17-02725,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,184.0,Claimant
89,17-02572,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,197.0,Claimant
91,17-02272,Group 3: One Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231.0,Respondent
92,17-03195,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0,Claimant
94,16-03692,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,475.0,Respondent
99,16-03148,Group 3: One Attorney,Northeast,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,531.0,Claimant
100,17-00156,Group 3: One Attorney,Midwest,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,447.0,Respondent
102,17-01628,Group 1: Pro Se,West,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,293.0,Claimant
103,17-01226,Group 3: One Attorney,South,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,322.0,Claimant
104,16-00263,Group 3: One Attorney,Midwest,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,805.0,Claimant
108,17-01059,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.0,Claimant
109,16-00767,Group 2: One Non-Attorney,Midwest,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,758.0,Respondent
112,16-00188,Group 3: One Attorney,Northeast,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,811.0,Respondent
114,15-01484,Group 3: One Attorney,Northeast,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1015.0,Claimant
116,16-02324,Group 3: One Attorney,Northeast,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,602.0,Respondent
117,17-02727,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,175.0,Claimant
119,18-00055,Group 2: One Non-Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,89.0,Claimant
120,17-01179,Group 2: One Non-Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.0,Claimant
121,16-02661,Group 2: One Non-Attorney,West,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,577.0,Respondent
122,16-02031,Group 3: One Attorney,South,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,630.0,Respondent
123,17-00222,Group 2: One Non-Attorney,South,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,431.0,Claimant
125,17-01676,Group 3: One Attorney,Midwest,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,280.0,Respondent
128,17-01271,Group 1: Pro Se,West,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,318.0,Respondent
129,16-01663,Group 2: One Non-Attorney,South,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,659.0,Claimant
130,17-00592,Group 2: One Non-Attorney,,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,387.0,Claimant
131,16-02933,Group 3: One Attorney,South,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,541.0,Respondent
133,17-00348,Group 3: One Attorney,South,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,416.0,Respondent
134,16-03171,Group 3: One Attorney,West,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,517.0,Respondent
137,16-00103,Group 2: One Non-Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815.0,Respondent
139,14-02230,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1353.0,Respondent
141,16-03675,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,465.0,Claimant
142,16-02974,Group 3: One Attorney,Midwest,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,534.0,Claimant
143,16-00978,Group 2: One Non-Attorney,South,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,727.0,Claimant
144,16-00658,Group 3: One Attorney,South,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,751.0,Claimant
146,15-02330,Group 4: Multiple Representatives,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,940.0,Claimant
147,16-03702,Group 3: One Attorney,Midwest,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,462.0,Claimant
149,17-03204,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,119.0,Claimant
150,16-00068,Group 3: One Attorney,South,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,813.0,Respondent
151,17-02918,Group 3: One Attorney,South,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,148.0,Claimant
152,17-03056,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0,Claimant
153,17-01643,Group 2: One Non-Attorney,Northeast,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,281.0,Respondent
154,16-02511,Group 3: One Attorney,Midwest,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,582.0,Respondent
158,17-01645,Group 3: One Attorney,South,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,279.0,Respondent
159,16-00123,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,805.0,Claimant
160,17-00581,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.0,Claimant
163,17-01788,Group 3: One Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262.0,Claimant
165,16-03390,Group 3: One Attorney,South,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493.0,Claimant
166,16-02364,Group 3: One Attorney,South,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,590.0,Respondent
167,17-02228,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0,Claimant
168,16-02822,Group 3: One Attorney,Midwest,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,441.0,Claimant
170,17-00831,Group 3: One Attorney,Northeast,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,357.0,Respondent
171,17-02819,Group 1: Pro Se,South,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,155.0,Claimant
172,16-02100,Group 3: One Attorney,Midwest,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,611.0,Claimant
173,17-03066,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0,Claimant
174,17-00422,Group 1: Pro Se,Northeast,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.0,Respondent
175,17-00752,Group 3: One Attorney,Northeast,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,364.0,Respondent
176,17-02160,Group 3: One Attorney,West,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,223.0,Respondent
177,16-03642,Group 1: Pro Se,West,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,461.0,Claimant
178,14-02376,Group 3: One Attorney,South,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1337.0,Respondent
179,17-00580,Group 2: One Non-Attorney,South,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,387.0,Respondent
180,16-03523,Group 3: One Attorney,South,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,474.0,Claimant
182,15-03421,Group 3: One Attorney,South,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,823.0,Respondent
183,16-01592,Group 3: One Attorney,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,658.0,Respondent
187,17-00508,Group 3: One Attorney,West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396.0,Claimant
189,17-00399,Group 3: One Attorney,Northeast,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,395.0,Claimant
190,17-01732,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.0,Claimant
198,16-02577,Group 3: One Attorney,West,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,567.0,Claimant
203,17-02254,Group 3: One Attorney,South,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,207.0,Respondent
204,16-01853,Group 3: One Attorney,West,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,623.0,Respondent
205,16-02352,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,579.0,Claimant
206,17-03148,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,108.0,Claimant
209,17-01443,Group 3: One Attorney,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279.0,Claimant
210,17-01015,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321.0,Claimant
211,17-01216,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.0,Respondent
212,17-01341,Group 1: Pro Se,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294.0,Respondent
213,16-03270,Group 3: One Attorney,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,484.0,Claimant
215,16-03129,Group 3: One Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.0,Respondent
216,15-02104,Group 2: One Non-Attorney,Northeast,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,939.0,Claimant
217,16-02576,Group 3: One Attorney,West,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,554.0,Respondent
218,17-03187,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,Claimant
219,16-03174,Group 3: One Attorney,West,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,497.0,Respondent
220,17-00327,Group 3: One Attorney,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,392.0,Respondent
222,16-02685,Group 2: One Non-Attorney,South,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,539.0,Respondent
224,17-00039,Group 2: One Non-Attorney,Northeast,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,426.0,Respondent
226,16-02369,Group 3: One Attorney,West,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,572.0,Claimant
227,17-00430,Group 2: One Non-Attorney,West,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,382.0,Respondent
228,16-03079,Group 3: One Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501.0,Respondent
230,15-03256,Group 3: One Attorney,Northeast,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,819.0,Respondent
231,15-01173,Group 4: Multiple Representatives,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017.0,Respondent
232,16-03448,Group 2: One Non-Attorney,South,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,464.0,Claimant
233,15-02999,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846.0,Claimant
236,17-02346,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,183.0,Claimant
237,16-02653,Group 3: One Attorney,South,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,538.0,Respondent
238,17-02225,Group 1: Pro Se,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.0,Claimant
239,16-00435,Group 3: One Attorney,West,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,750.0,Respondent
240,14-01439,Group 3: One Attorney,Midwest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1392.0,Claimant
242,16-03269,Group 3: One Attorney,South,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,477.0,Respondent
244,16-03304,Group 1: Pro Se,Northeast,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,473.0,Claimant
245,16-03467,Group 3: One Attorney,South,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,455.0,Respondent
246,17-00773,Group 2: One Non-Attorney,Northeast,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,340.0,Respondent
247,17-02772,Group 1: Pro Se,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,Claimant
248,17-01353,Group 3: One Attorney,Midwest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0,Claimant
252,17-00188,Group 3: One Attorney,Northeast,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,399.0,Claimant
254,17-01888,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.0,Claimant
255,16-02594,Group 2: One Non-Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,543.0,Respondent
256,16-03731,Group 2: One Non-Attorney,Northeast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.0,Claimant
257,15-02536,Group 4: Multiple Representatives,,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,883.0,Claimant
258,17-00018,Group 3: One Attorney,West,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,420.0,Claimant
259,16-03342,Group 3: One Attorney,West,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,465.0,Respondent
260,17-02744,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0,Claimant
261,17-02695,Group 1: Pro Se,South,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,139.0,Respondent
262,17-00400,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377.0,Respondent
263,17-01790,Group 2: One Non-Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.0,Claimant
264,17-02605,Group 3: One Attorney,Northeast,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0,Claimant
265,17-01845,Group 3: One Attorney,South,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Claimant
266,17-02723,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.0,Claimant
267,17-02779,Group 2: One Non-Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,128.0,Claimant
268,17-01354,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.0,Claimant
269,16-02540,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,540.0,Respondent
270,16-01519,Group 4: Multiple Representatives,West,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,636.0,Respondent
271,17-01472,Group 1: Pro Se,West,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,259.0,Claimant
272,16-03260,Group 3: One Attorney,Northeast,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,465.0,Claimant
273,17-00492,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358.0,Respondent
274,17-01467,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.0,Claimant
277,17-00852,Group 2: One Non-Attorney,Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,324.0,Claimant
278,16-01039,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674.0,Claimant
280,16-02247,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563.0,Respondent
281,17-00750,Group 3: One Attorney,South,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,331.0,Claimant
282,16-00514,Group 3: One Attorney,Northeast,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,724.0,Claimant
283,17-00665,Group 2: One Non-Attorney,South,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,337.0,Respondent
284,14-03350,Group 4: Multiple Representatives,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207.0,Claimant
285,16-01328,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645.0,Claimant
289,16-00303,Group 2: One Non-Attorney,South,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,743.0,Claimant
296,16-01645,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613.0,Claimant
299,15-01783,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944.0,Claimant
302,15-01322,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,980.0,Respondent
305,16-03199,Group 3: One Attorney,South,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,464.0,Claimant
306,16-02959,Group 3: One Attorney,South,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,491.0,Respondent
307,17-00145,Group 3: One Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,384.0,Claimant
310,17-02399,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,Claimant
312,16-01205,Group 2: One Non-Attorney,South,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,654.0,Respondent
313,16-02374,Group 3: One Attorney,South,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,545.0,Claimant
314,17-01885,Group 1: Pro Se,South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.0,Claimant
315,16-00060,Group 2: One Non-Attorney,Northeast,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,769.0,Claimant
316,16-02691,Group 3: One Attorney,West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512.0,Claimant
318,16-02662,Group 3: One Attorney,Midwest,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,515.0,Claimant
319,17-02551,Group 3: One Attorney,South,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,130.0,Claimant
320,16-02083,Group 2: One Non-Attorney,South,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,563.0,Respondent
321,17-02893,Group 1: Pro Se,West,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,98.0,Respondent
322,16-03578,Group 2: One Non-Attorney,Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421.0,Claimant
